STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UV_HGDE_KT,Canton,UV_RV_OWNER_TYPE,Type of holder,UV_RV_REGISTRATION_TYPE,Type of new registration,UV_RV_VEHICLE_GROUP_AND_TYPE,Vehicle group / type,UV_RV_FUEL,Fuel,FREQ,Frequency of observation,TIME_PERIOD,Time period (month/year),OBS_VALUE,Observation value,DIFF_COMMENT_RV,General information about the dataset,OBS_STATUS,Observation Status,DIFF_COMMENT_2,Note,DIFF_COMMENT_3,Note,DIFF_COMMENT_4,Note,DIFF_COMMENT_5,Note,DIFF_COMMENT_6,Note
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-02,,985,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-03,,1866,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-04,,809,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-05,,1007,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-06,,1711,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-07,,1293,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-08,,1979,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-09,,3230,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-10,,1789,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-11,,2704,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2020-12,,5064,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-01,,1317,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-02,,1666,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-03,,2794,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-04,,2365,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-05,,2316,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-06,,4159,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-07,,2238,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-08,,2597,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-09,,4386,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-10,,2517,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
DATAFLOW,CH1.MFZ_IVS:DF_IVS_0_GENERAL(1.0.0),New registrations of road vehicles by vehicle group and type,I,_T,Total,_T,Total,N,First registrations of new vehicles,_T,Total,EL,Battery electric vehicle (BEV),M,Monthly,2021-11,,3994,,DF_IVS_0_GENERAL,"Includes all new civilian vehicles put into circulation in Switzerland during the calendar year in question. From the reference year 2025 onwards, used civilian vehicles registered in Switzerland for the first time (mainly used imports registered for the first time in Switzerland) are (separately) also listed. 

The data reflect the status of the vehicle register as at 3 January of the following year. The monthly data therefore also include late registrations made during the respective calendar year. However, late registrations that relate to a previous year are not included.

From the reference year 2018 onwards, the figures also include vehicles with a holder's address abroad (around 0.05% of new vehicles registered in 2018). Up to and including 2017, only vehicles with a  holder's address in Switzerland are reported.

The vehicle types are defined in the Ordinance on the Technical Requirements for Road Vehicles (RVTRO). 

All 2005–2024 data were revised when the 2025 results were published on 4.2.2026.",A,Normal value,SER_01,"From the reference year 2018 (introduction of IVZ vehicle register) onwards, the canton has been determined according to the information on the number plate. In the years up to and including 2017 the canton was determined based on the holder's address. Comparability of cantonal data from 2018 onwards with previous years is therefore limited.",,,,,SER_28,Excludes vehicles that require a moped licence plate; including trailers.,,
